taxa,family
Luxilus cerasinus,Cyprinidae
Luxilus chrysocephalus,Cyprinidae
Luxilus coccogenis,Cyprinidae
Luxilus cornutus,Cyprinidae
Luxilus pilsbryi,Cyprinidae
Luxilus zonatus,Cyprinidae
Luxilus zonistius,Cyprinidae
Lythrurus ardens,Cyprinidae
Lythrurus atrapiculus,Cyprinidae
Lythrurus bellus,Cyprinidae
Lythrurus fasciolaris,Cyprinidae
Lythrurus fumeus,Cyprinidae
Lythrurus lirus,Cyprinidae
Lythrurus matutinus,Cyprinidae
Lythrurus roseipinnis,Cyprinidae
Lythrurus snelsoni,Cyprinidae
Lythrurus umbratilis,Cyprinidae
Macrhybopsis storeriana,Cyprinidae
Mylopharyngodon piceus,Cyprinidae
Nocomis biguttatus,Cyprinidae
Nocomis leptocephalus,Cyprinidae
Nocomis micropogon,Cyprinidae
Notemigonus crysoleucas,Cyprinidae
Notropis aguirrepequenoi,Cyprinidae
Notropis albizonatus,Cyprinidae
Notropis alborus,Cyprinidae
Notropis altipinnis,Cyprinidae
Notropis amabilis,Cyprinidae
Notropis ammophilus,Cyprinidae
Notropis amoenus,Cyprinidae
Notropis amplamala,Cyprinidae
Notropis anogenus,Cyprinidae
Notropis ariommus,Cyprinidae
Notropis asperifrons,Cyprinidae
Notropis atherinoides,Cyprinidae
Notropis atrocaudalis,Cyprinidae
Notropis aulidion,Cyprinidae
Notropis baileyi,Cyprinidae
Notropis bairdi,Cyprinidae
Notropis bifrenatus,Cyprinidae
Notropis blennius,Cyprinidae
Notropis blennius,Cyprinidae
Notropis boops,Cyprinidae
Notropis boucardi,Cyprinidae
Notropis braytoni,Cyprinidae
Notropis buccatus,Cyprinidae
Notropis buccatus,Cyprinidae
Notropis buccula,Cyprinidae
Notropis buchanani,Cyprinidae
Notropis chalybaeus,Cyprinidae
Notropis chalybaeus,Cyprinidae
Notropis chihuahua,Cyprinidae
Notropis chiliticus,Cyprinidae
Notropis chlorocephalus,Cyprinidae
Notropis chrosomus,Cyprinidae
Notropis cummingsae,Cyprinidae
Notropis dorsalis,Cyprinidae
Notropis dorsalis,Cyprinidae
Notropis edwardraneyi,Cyprinidae
Notropis girardi,Cyprinidae
Notropis greenei,Cyprinidae
Notropis harperi,Cyprinidae
Notropis heterodon,Cyprinidae
Notropis heterodon,Cyprinidae
Notropis heterolepis,Cyprinidae
Notropis heterolepis,Cyprinidae
Notropis hudsonius,Cyprinidae
Notropis hudsonius,Cyprinidae
Notropis hypsilepis,Cyprinidae
Notropis jemezanus,Cyprinidae
Notropis leuciodus,Cyprinidae
Notropis longirostris,Cyprinidae
Notropis lutipinnis,Cyprinidae
Notropis maculatus,Cyprinidae
Notropis mekistocholas,Cyprinidae
Notropis melanostomus,Cyprinidae
Notropis micropteryx,Cyprinidae
Notropis nazas,Cyprinidae
Notropis nubilus,Cyprinidae
Notropis orca,Cyprinidae
Notropis ortenburgeri,Cyprinidae
Notropis oxyrhynchus,Cyprinidae
Notropis ozarcanus,Cyprinidae
Notropis percobromus,Cyprinidae
Notropis perpallidus,Cyprinidae
Notropis petersoni,Cyprinidae
Notropis photogenis,Cyprinidae
Notropis potteri,Cyprinidae
Notropis procne,Cyprinidae
Notropis rafinesquei,Cyprinidae
Notropis rubellus,Cyprinidae
Notropis rubricroceus,Cyprinidae
Notropis rupestris,Cyprinidae
Notropis sabinae,Cyprinidae
Notropis saladonis,Cyprinidae
Notropis scabriceps,Cyprinidae
Notropis scepticus,Cyprinidae
Notropis semperasper,Cyprinidae
Notropis shumardi,Cyprinidae
Notropis simus,Cyprinidae
Notropis stilbius,Cyprinidae
Notropis stramineus,Cyprinidae
Notropis suttkusi,Cyprinidae
Notropis telescopus,Cyprinidae
Notropis texanus,Cyprinidae
Notropis topeka,Cyprinidae
Notropis uranoscopus,Cyprinidae
Notropis volucellus,Cyprinidae
Notropis wickliffi,Cyprinidae
Notropis xaenocephalus,Cyprinidae
Opsopoeodus emiliae,Cyprinidae
Phenacobius catostomus,Cyprinidae
Phenacobius crassilabrum,Cyprinidae
Phenacobius mirabilis,Cyprinidae
Phenacobius teretulus,Cyprinidae
Phenacobius uranops,Cyprinidae
Phoxinus erythrogaster,Cyprinidae
Phoxinus neogaeus,Cyprinidae
Phoxinus neogaeus,Cyprinidae
Phoxinus oreas,Cyprinidae
Phoxinus phoxinus,Cyprinidae
Phoxinus saylori,Cyprinidae
Pimephales notatus,Cyprinidae
Pimephales promelas,Cyprinidae
Pimephales vigilax,Cyprinidae
Pteronotropis hubbsi,Cyprinidae
Pteronotropis hypselopterus,Cyprinidae
Pteronotropis metallicus,Cyprinidae
Pteronotropis signipinnis,Cyprinidae
Rasbora lateristriata,Cyprinidae
Rhinichthys atratulus,Cyprinidae
Rhinichthys cataractae,Cyprinidae
Rhinichthys obtusus,Cyprinidae
Richardsonius balteatus,Cyprinidae
Rutilus rutilus,Cyprinidae
Rutilus rutilus,Cyprinidae
Scardinius erythrophthalmus,Cyprinidae
Semotilus atromaculatus,Cyprinidae
Tinca tinca,Cyprinidae
Cyprinodon bifasciatus,Cyprinodontidae
Floridichthys carpio,Cyprinodontidae 
Dorosoma cepedianum,Dorosomatidae
Dorosoma petenense,Dorosomatidae
Dorosoma smithi,Dorosomatidae
Escualosa thoracata,Dorosomatidae
Herklotsichthys dispilonotus,Dorosomatidae
Hilsa kelee,Dorosomatidae
Sardinella albella,Dorosomatidae
Sardinella gibbosa,Dorosomatidae
Sardinella lemuru,Dorosomatidae
Nematalosa come,Dorosomatidae 
Dussumieria elopsoides,Dussumieriidae
Coilia lindmani,Engraulidae
Encrasicholina heteroloba,Engraulidae
Encrasicholina punctifer,Engraulidae
Lycothrissa crocodilus,Engraulidae
Setipinna taty,Engraulidae
Setipinna tenuifilis,Engraulidae
Stolephorus chinensis,Engraulidae
Stolephorus commersonnii,Engraulidae
Stolephorus indicus,Engraulidae
Stolephorus waitei,Engraulidae
Thryssa baelama,Engraulidae
Thryssa chefuensis,Engraulidae
Thryssa dussumieri,Engraulidae
Thryssa hamiltonii,Engraulidae
Thryssa kammalensis,Engraulidae
Thryssa setirostris,Engraulidae
Thryssa spinidens,Engraulidae
Esox americanus,Esocidae
Esox lucius,Esocidae
Esox masquinongy,Esocidae
Esox niger,Esocidae
Umbra limi,Esociformes
Trigonognathus kabeyai,ETMOPTERIDAE
Adinia xenica,Fundulidae
Fundulus catenatus,Fundulidae
Fundulus confluentus,Fundulidae
Fundulus diaphanus,Fundulidae
Fundulus dispar,Fundulidae
Fundulus escambiae,Fundulidae
Fundulus heteroclitus,Fundulidae
Fundulus kansae,Fundulidae
Fundulus lineolatus,Fundulidae
Fundulus majalis,Fundulidae
Fundulus notatus,Fundulidae
Fundulus olivaceus,Fundulidae
Fundulus persimilis,Fundulidae
Fundulus pulvereus,Fundulidae
Fundulus sciadicus,Fundulidae
Fundulus seminolis,Fundulidae
Fundulus similis,Fundulidae
Fundulus stellifer,Fundulidae
Fundulus waccamensis,Fundulidae
Fundulus zebrinus,Fundulidae
Apeltes quadracus,Gasterosteidae
Culaea inconstans,Gasterosteidae
Gasterosteus aculeatus,Gasterosteidae
Pungitius pungitius,Gasterosteidae
Neogobius fluviatilis,Gobiidae
Neogobius gymnotrachelus,Gobiidae
Neogobius kessleri,Gobiidae
Neogobius melanostomus,Gobiidae
Neogobius ratan,Gobiidae
Pomatoschistus marmoratus,Gobiidae
Proterorhinus marmoratus,Gobiidae
Proterorhinus semilunaris,Gobiidae
Hyporhamphus dussumieri,Hemiramphidae 
Imparfinis guttatus,Heptapteridae
Hiodon alosoides,Hiodontidae
Hiodon tergisus,Hiodontidae
Hoplichthys regani,Hoplichthyidae
Bathysphyraenops simplex,Howellidae
Ameiurus catus,Ictaluridae
Ameiurus melas,Ictaluridae
Ameiurus natalis,Ictaluridae
Ictalurus furcatus,Ictaluridae
Ictalurus punctatus,Ictaluridae
Noturus albater,Ictaluridae
Noturus elegans,Ictaluridae
Noturus eleutherus,Ictaluridae
Noturus exilis,Ictaluridae
Noturus fasciatus,Ictaluridae
Noturus flavater,Ictaluridae
Noturus flavipinnis,Ictaluridae
Noturus flavus,Ictaluridae
Noturus funebris,Ictaluridae
Noturus furiosus,Ictaluridae
Noturus gilberti,Ictaluridae
Noturus gladiator,Ictaluridae
Noturus gyrinus,Ictaluridae
Noturus hildebrandi,Ictaluridae
Noturus insignis,Ictaluridae
Noturus lachneri,Ictaluridae
Noturus leptacanthus,Ictaluridae
Noturus maydeni,Ictaluridae
Noturus miurus,Ictaluridae
Noturus munitus,Ictaluridae
Noturus nocturnus,Ictaluridae
Noturus phaeus,Ictaluridae
Noturus placidus,Ictaluridae
Noturus stigmosus,Ictaluridae
Noturus taylori,Ictaluridae
Noturus trautmani,Ictaluridae
Pylodictis olivaris,Ictaluridae
Kuhlia xenura,Kuhliidae
Goniistius quadricornis,Latridae
Equulites elongatus,Leiognathidae
Leiognathus berbis,Leiognathidae
Leiognathus equulus,Leiognathidae
Photopectoralis bindus,Leiognathidae
Secutor insidiator,Leiognathidae
Secutor ruconius,Leiognathidae
Atractosteus spatula,Lepisosteidae
Atractosteus tristoechus,Lepisosteidae
Lepisosteus oculatus,Lepisosteidae
Lepisosteus osseus,Lepisosteidae
Lepisosteus platostomus,Lepisosteidae
Lepisosteus platyrhincus,Lepisosteidae
Lestrolepis japonica,Lestidiidae
Couesius plumbeus,Leuciscidae
Lepidomeda copei,Leuciscidae
Leuciscus bergi,Leuciscidae
Leuciscus cephalus,Leuciscidae
Leuciscus idus,Leuciscidae
Leuciscus leuciscus,Leuciscidae
Margariscus margarita,Leuciscidae
Phoxinus cumberlandensis,Leuciscidae
Phoxinus eos,Leuciscidae
Malakichthys elegans,Malakichthyidae
Malakichthys wakiyae,Malakichthyidae
Monocentris japonica,Monocentridae
Dicentrarchus labrax,Moronidae
Morone americana,Moronidae
Morone chrysops,Moronidae
Morone mississippiensis,Moronidae
Morone saxatilis,Moronidae
Chelon macrolepis,Mugilidae
Chelon subviridis,Mugilidae
Crenimugil crenilabis,Mugilidae
Valamugil cunnesius,Mugilidae
Allosmerus elongatus,Osmeridae
Osmerus mordax,Osmeridae
Spirinchus starksi,Osmeridae
Spirinchus thaleichthys,Osmeridae
Etheostoma chlorosomum,Percidae
Etheostoma lawrencei,Percidae
Etheostoma microperca,Percidae
Etheostoma nigrum,Percidae
Etheostoma spectabile,Percidae
Etheostoma stigmaeum,Percidae
Etheostoma zonale,Percidae
Gymnocephalus baloni,Percidae
Gymnocephalus cernuus,Percidae
Perca flavescens,Percidae
Perca fluviatilis,Percidae
Percina caprodes,Percidae
Percina evides,Percidae
Percina maculata,Percidae
Percina phoxocephala,Percidae
Sander canadensis,Percidae
Sander lucioperca,Percidae
Sander vitreus,Percidae
Percopsis transmontana,Percopsidae
Petromyzon marinus,Petromyzontidae
Ichthyomyzon castaneus,Petromyzontiformes
Ichthyomyzon gagei,Petromyzontiformes
Ichthyomyzon unicuspis,Petromyzontiformes
Neostethus lankesteri,Phallostethidae
Brachyrhaphis cascajalensis,Poeciliidae
Brachyrhaphis parismina,Poeciliidae
Gambusia affinis,Poeciliidae
Gambusia alvarezi,Poeciliidae
Gambusia amistadensis,Poeciliidae
Gambusia atrora,Poeciliidae
Gambusia eurystoma,Poeciliidae
Gambusia gaigei,Poeciliidae
Gambusia geiseri,Poeciliidae
Gambusia georgei,Poeciliidae
Gambusia heterochir,Poeciliidae
Gambusia hurtadoi,Poeciliidae
Gambusia longispinis,Poeciliidae
Gambusia marshi,Poeciliidae
Gambusia nicaraguensis,Poeciliidae
Gambusia nobilis,Poeciliidae
Gambusia panuco,Poeciliidae
Gambusia regani,Poeciliidae
Gambusia rhizophorae,Poeciliidae
Gambusia senilis,Poeciliidae
Gambusia sexradiata,Poeciliidae
Gambusia vittata,Poeciliidae
Neoheterandria cana,Poeciliidae
Poeciliopsis fasciata,Poeciliidae
Poeciliopsis infans,Poeciliidae
Poeciliopsis occidentalis,Poeciliidae
Priapella bonita,Poeciliidae
Priapichthys caliensis,Poeciliidae 
Priapichthys darienensis,Poeciliidae 
Polymixia berndti,Polymixiidae
Abudefduf sordidus,Pomacentridae
Opisthopterus tardoore,Pristagasteridae
Ilisha melastoma,Pristigasteridae
Coregonus artedi,Salmonidae
Coregonus nipigon,Salmonidae
Coregonus zenithicus,Salmonidae
Oncorhynchus aguabonita,Salmonidae
Oncorhynchus clarkii,Salmonidae
Oncorhynchus gorbuscha,Salmonidae
Oncorhynchus keta,Salmonidae
Oncorhynchus kisutch,Salmonidae
Oncorhynchus mykiss,Salmonidae
Oncorhynchus nerka,Salmonidae
Oncorhynchus tshawytscha,Salmonidae
Prosopium cylindraceum,Salmonidae
Prosopium williamsoni,Salmonidae
Salmo salar,Salmonidae
Salmo trutta,Salmonidae
Salvelinus fontinalis,Salmonidae
Salvelinus grayi,Salmonidae
Salvelinus namaycush,Salmonidae
Thymallus arcticus,Salmonidae
Aplodinotus grunniens,Sciaenidae
Setarches longimanus,Scorpaenidae
Ebosia bleekeri,Scorpaenidae 
Serranus phoebe,Serranidae
Sphyraena barracuda,Sphyraenidae
Sphyraena flavicauda,Sphyraenidae
Sphyraena jello,Sphyraenidae
Pelates quadrilineatus,Terapontidae
Terapon jarbua,Terapontidae
Takifugu alboplumbeus,Tetraodontidae
Neocentropogon japonicus,Tetrarogidae
Aulotrachichthys prosthemius,Trachichthyidae
Hoplostethus japonicus,Trachichthyidae
Parahollardia lineata,Triacanthodidae
Triacanthodes anomalus,Triacanthodidae
Zenion japonicum,Zeniontidae 
